distance_m;elapsed_time_s;elevation_gain_m;mean_km_per_week;mean_training_days_per_week;gender_binary;level
4840,8;1031;25;52,1345837;5,75;0;3
4840,2;3981;63;15,65447328;1,948275862;1;2
4839;1800;18,4;31,65486517;2,876404494;0;2
4838,1;1078;16;49,80321538;4,923076923;0;2
4838;3553;739;31,77827246;2,920289855;0;2
4835,8;4263;413;32,40464657;2,783393502;0;2
4835,2;2212;33,2;10,91062093;1,534883721;1;2
4833,6;1523;7;52,1345837;5,75;0;3
4833;1433;8;38,475968;3,34;1;2
4832,5;2076;13;26,47819712;2,49201278;0;2
4831,2;1553;52;26,15680562;2,404494382;0;2
4831,2;1884;90;15,65447328;1,948275862;1;2
4829,9;1479;270,4;32,91861949;2,861538462;0;3
4829,6;1838;10,8;13,65746667;1,587301587;0;2
4829,1;1996;79,8;10,91062093;1,534883721;1;2
4828,4;1963;31,2;31,77827246;2,920289855;0;2
4826,8;1801;5;26,47819712;2,49201278;0;2
4826,7;1640;14,2;49,11819406;3,559440559;0;3
4825,3;4034;303,6;24,81411417;2,183333333;1;2
4824,5;1331;50;34,30544052;2,758169935;0;2
4824,1;1803;42;26,47819712;2,49201278;0;2
4823,7;1824;65,4;32,79745989;2,962566845;1;2
4822,8;1158;17;32,06867385;2,261538462;0;2
4821,8;1539;44;49,83286849;3,903361345;0;3
4821,2;3127;380,8;32,43651165;2,446601942;0;2
4820,9;1538;19;56,81350076;5,114503817;1;3
4820,9;1538;19;56,81350076;5,114503817;1;3
4820,7;1793;344,2;42,81280479;3,323943662;0;3
4820,5;1224;17,6;32,06867385;2,261538462;0;2
4820,5;1356;38,1;22,32507174;2,22826087;0;2
4820,3;2151;10;26,47819712;2,49201278;0;2
4820;1004;0;52,1345837;5,75;0;3
4819,6;1374;18;21,61906646;2,012658228;0;2
4819,1;1773;24,1;24,57898271;2,247663551;0;2
4818,8;1946;3,4;32,06867385;2,261538462;0;2
4817,3;1860;76;32,77798121;2,731543624;0;2
4817,1;1479;0;32,79745989;2,962566845;1;2
4815,5;1562;19,7;39,94094043;3,468085106;1;3
4814,8;1884;9;29,28912177;2,306122449;0;2
4813,4;1165;19,6;32,06867385;2,261538462;0;2
4810,8;1541;10;29,28912177;2,306122449;0;2
4810,6;1457;32,4;53,04576144;4,509803922;0;3
4810,4;1961;147,8;36,5462183;3,006535948;0;3
4808,9;1600;25;33,13721136;2,352272727;0;2
4808,5;2063;0;9,779634615;1,5;0;1
4806,8;1605;67;49,80321538;4,923076923;0;2
4806,2;1428;3;49,83286849;3,903361345;0;3
4806,2;1468;21;52,1345837;5,75;0;3
4805,8;2118;212,1;35,55126737;2,78245614;1;3
4805,7;1752;183;32,77798121;2,731543624;0;2
4805,6;1411;44,8;29,16997484;2,366242038;0;2
4804,6;1077;19,7;32,06867385;2,261538462;0;2
4803,5;1935;76;32,77798121;2,731543624;0;2
4803,3;2097;71;49,11819406;3,559440559;0;3
4803,2;1950;122,1;32,40464657;2,783393502;0;2
4802,8;1548;27,1;26,15680562;2,404494382;0;2
4802,7;1427;55,3;53,04576144;4,509803922;0;3
4799,2;1789;0;49,83286849;3,903361345;0;3
4797;1775;22;23,4131;2,106382979;0;2
4797;3466;100,6;33,02951532;2,657657658;0;2
4796,2;1762;67;15,65447328;1,948275862;1;2
4796;1441;39,4;27,38660654;2,411214953;0;2
4795,9;1729;0;35,55126737;2,78245614;1;3
4795,1;1498;6;49,83286849;3,903361345;0;3
4794,2;1526;30;27,11409602;2,462686567;0;2
4793,9;1382;103,7;48,46767133;4,251748252;0;3
4793,5;3027;82,1;24,44736727;2,345454545;0;2
4792,3;1421;0;52,1345837;5,75;0;3
4792;2144;97;9,483446809;1,255319149;0;1
4791,7;1770;25,4;31,77827246;2,920289855;0;2
4790,9;1550;10,6;13,65746667;1,587301587;0;2
4790,8;1318;0;27,11409602;2,462686567;0;2
4790,7;1113;19,9;32,91861949;2,861538462;0;3
4790,6;1704;99;25,96158194;2,656387665;0;2
4788,9;1812;14;26,47819712;2,49201278;0;2
4788;1176;21;32,06867385;2,261538462;0;2
4787,7;1855;65;15,65447328;1,948275862;1;2
4787,6;3200;393,6;10,10237292;1,354166667;0;2
4787,2;5151;28,9;32,79745989;2,962566845;1;2
4786,9;1500;22,6;30,0347156;2,770642202;1;2
4784;2557;0;32,79745989;2,962566845;1;2
4783,8;1723;231;35,55126737;2,78245614;1;3
4783,8;1822;50;48,57342128;3,964539007;0;2
4783,8;1890;7;26,47819712;2,49201278;0;2
4783,1;1600;31;15,43187159;1,869318182;0;2
4782,6;1317;35;31,64926337;2,238683128;0;3
4781,6;1740;49,4;26,70785694;2,4375;0;2
4781;1774;9,6;26,47819712;2,49201278;0;2
4780,7;1533;22;52,1345837;5,75;0;3
4779,1;1189;17,2;32,06867385;2,261538462;0;2
4777,9;1631;8;74,12692662;5,179856115;0;3
4777,7;2072;0;32,79745989;2,962566845;1;2
4777;2603;457,5;42,81280479;3,323943662;0;3
4777;3802;709;32,79745989;2,962566845;1;2
4776,1;1667;0;53,04576144;4,509803922;0;3
4775,6;1837;8;26,47819712;2,49201278;0;2
4775,5;1467;75,4;15,6107747;1,56626506;0;2
4775,1;1282;17,5;32,06867385;2,261538462;0;2
4774,5;1665;15,5;26,47819712;2,49201278;0;2
4774,4;1721;19;15,43187159;1,869318182;0;2
4774,2;1642;14,6;16,18071008;1,823529412;1;2
4774,2;1786;169;51,28863644;3,796610169;0;3
4773,9;1744;73;15,43187159;1,869318182;0;2
4773,5;1702;23;29,28912177;2,306122449;0;2
4772,1;1560;2,9;85,100225;6,326086957;0;3
4771,6;1685;10;29,28912177;2,306122449;0;2
4770,9;1790;82;15,65447328;1,948275862;1;2
4770,7;1959;8;26,47819712;2,49201278;0;2
4768,8;1475;85;27,11409602;2,462686567;0;2
4768,8;2178;207,3;15,43187159;1,869318182;0;2
4767,1;1958;31;32,05869068;2,949152542;1;2
4765,4;1013;14,2;35,55126737;2,78245614;1;3
4765,4;1563;12;25,96158194;2,656387665;0;2
4765,2;1795;103,2;22,99254251;2,173913043;0;2
4764,7;1688;24;48,57342128;3,964539007;0;2
4764,1;1052;0;52,1345837;5,75;0;3
4764;1491;159;25,59271481;2,101851852;0;2
4763,7;1810;79,3;31,77827246;2,920289855;0;2
4763,3;2011;0;9,779634615;1,5;0;1
4763;2069;79,6;15,38307037;1,888888889;1;2
4762,1;1830;75;32,77798121;2,731543624;0;2
4761,5;1854;10,7;26,47819712;2,49201278;0;2
4759,9;1774;15,8;38,475968;3,34;1;2
4759,8;1277;18;15,43187159;1,869318182;0;2
4759;1557;1;15,43187159;1,869318182;0;2
4758,6;1434;36,8;53,04576144;4,509803922;0;3
4758,6;1801;23,4;37,34840617;3,172839506;0;2
4758,1;1966;8;26,47819712;2,49201278;0;2
4757,9;1972;7;26,47819712;2,49201278;0;2
4755,3;1757;27,7;33,63371754;2,280701754;1;2
4755,1;1771;73,3;21,40506514;2,220183486;1;2
